Date,Stock,Returns
2017-10-17,Microsoft (MSFT),-0.24417789226718
2017-10-17,Nokia (NOK),-1.1804333364345099
2017-10-17,Nvidia (NVDA),0.42917992003486005
2017-10-17,Tilray (TLRY),
2017-10-17,Virgin Galactic (SPCE),0.0
2017-10-18,AMC Entertainment (AMC),0.35714421953474
2017-10-18,Alphabet (GOOG),0.02809991441394
2017-10-18,Amazon (AMZN),1.07170711911863
2017-10-18,Apple (AAPL),-0.09945198494211
2017-10-18,Bed Bath & Beyond (BBBY),-0.512098255806
2017-10-18,BlackBerry (BB),-0.6999118247602201
2017-10-18,Clover Health (CLOV),
2017-10-18,Microsoft (MSFT),0.29630986781843
2017-10-18,Nokia (NOK),0.51194082402179
2017-10-18,Nvidia (NVDA),-0.38209880852558
2017-10-18,Tilray (TLRY),
2017-10-18,Virgin Galactic (SPCE),0.0
2017-10-19,AMC Entertainment (AMC),1.7793594064493898
2017-10-19,Alphabet (GOOG),-0.7865765762455601
2017-10-19,Amazon (AMZN),-3.05778028663793
2017-10-19,Apple (AAPL),-2.2587298432981
2017-10-19,Bed Bath & Beyond (BBBY),-0.32756948724276
2017-10-19,BlackBerry (BB),-0.70484511909501
2017-10-19,Clover Health (CLOV),
2017-10-19,Microsoft (MSFT),0.10276407530216
2017-10-19,Nokia (NOK),-0.33955825772278997
2017-10-19,Nvidia (NVDA),-0.07065680331063
2017-10-19,Tilray (TLRY),
2017-10-19,Virgin Galactic (SPCE),0.0
2017-10-20,AMC Entertainment (AMC),1.74825172493338
2017-10-20,Alphabet (GOOG),0.21438191165061
2017-10-20,Amazon (AMZN),0.36021857304269
2017-10-20,Apple (AAPL),0.42653307940874
2017-10-20,Bed Bath & Beyond (BBBY),1.59624490500598
2017-10-20,BlackBerry (BB),-0.17746634384467
2017-10-20,Clover Health (CLOV),
2017-10-20,Microsoft (MSFT),1.33453215893066
2017-10-20,Nokia (NOK),4.08859033448625
2017-10-20,Nvidia (NVDA),0.8030284534801001
2017-10-20,Tilray (TLRY),
2017-10-20,Virgin Galactic (SPCE),0.8823544536357499
2017-10-23,AMC Entertainment (AMC),-1.37456911782374
2017-10-23,Alphabet (GOOG),-0.14933904883543
2017-10-23,Amazon (AMZN),-0.78823731466048
2017-10-23,Apple (AAPL),-0.03803331765055
2017-10-23,Bed Bath & Beyond (BBBY),-0.18483830548462998
2017-10-23,BlackBerry (BB),-0.6222195095486099
2017-10-23,Clover Health (CLOV),
2017-10-23,Microsoft (MSFT),0.46852616369277
2017-10-23,Nokia (NOK),-0.49100178646139
2017-10-23,Nvidia (NVDA),-0.37075517207899
2017-10-23,Tilray (TLRY),
2017-10-23,Virgin Galactic (SPCE),-0.38872655006136003
2017-10-24,AMC Entertainment (AMC),0.34842672983557
2017-10-24,Alphabet (GOOG),-1.74731571414505
2017-10-24,Amazon (AMZN),-0.7022849911817101
2017-10-24,Apple (AAPL),-0.17122472463735
2017-10-24,Bed Bath & Beyond (BBBY),-0.83333473146695
2017-10-24,BlackBerry (BB),-0.7155628043142199
2017-10-24,Clover Health (CLOV),
2017-10-24,Microsoft (MSFT),-0.17645499887876
2017-10-24,Nokia (NOK),-0.98684117652041
2017-10-24,Nvidia (NVDA),-0.05029223054866001
2017-10-24,Tilray (TLRY),
2017-10-24,Virgin Galactic (SPCE),0.0
